photoID,description,publishedDate,image,views,rating,categoryID,albumID
1,"A breathtaking sunset over the Grand Canyon, capturing the vibrant hues of the sky and the canyon majestic landscape.",2023-12-10,assets/images/photos_gallery/Travel_Adventure_photo_1.jpg,150,7,1,1
2,"A close-up shot of a dew-covered spider web in a misty morning forest, highlighting the intricate beauty of nature.",2023-12-20,assets/images/photos_gallery/Nature_photo_1.jpg,350,9,2,4
3,"A soccer player mid-air, kicking the ball during an intense match under stadium lights.",2023-12-30,assets/images/photos_gallery/Sports_photo_1.jpg,120,6,3,3
4,"An urban street mural depicting vibrant and abstract forms, adding a splash of color to the cityscape.",2023-12-05,assets/images/photos_gallery/Art_photo_1.jpg,750,8,4,5
5,"Exploring the streets of Tokyo during cherry blossom season, with the iconic sakura trees in full bloom.",2023-05-23,assets/images/photos_gallery/Travel_Adventure_photo_2.jpg,220,5,1,1
6,"A field of vibrant wildflowers in full bloom, creating a colorful carpet under the open blue sky.",2024-01-14,assets/images/photos_gallery/Nature_photo_2.jpg,1200,9,2,5
7,"Close-up of an artist hands at work, capturing the intricate details of the creation process.",2023-05-23,assets/images/photos_gallery/Art_photo_2.jpg,540,7,4,6
8,"Relaxing on a pristine beach in Bali, toes in the sand, and a panoramic view of the turquoise ocean.",2023-04-12,assets/images/photos_gallery/Travel_Adventure_photo_3.jpg,310,5,1,1
9,"A serene lake surrounded by lush greenery, reflecting the towering mountains in its crystal-clear waters.",2023-07-06,assets/images/photos_gallery/Nature_photo_3.jpg,760,4,2,6
10,"A snowboarder carving through fresh powder on a snowy mountain slope, leaving a trail of powder behind.",2024-01-12,assets/images/photos_gallery/Sports_photo_3.jpg,1700,9,3,4
11,An outdoor art installation featuring sculptural pieces that interact with the natural environment.,2023-10-30,assets/images/photos_gallery/Art_photo_3.jpg,980,7,4,2
12,"Hiking the Inca Trail to Machu Picchu, with the ancient ruins emerging through the misty mountain landscape.",2024-01-18,assets/images/photos_gallery/Travel_Adventure_photo_4.jpg,550,6,1,1
13,"A majestic waterfall cascading down a rocky cliff, surrounded by emerald-green foliage.",2023-09-12,assets/images/photos_gallery/Nature_photo_4.jpg,135,7,2,4
14,"A surfer catching a wave at sunset, skillfully riding the ocean swell.",2024-01-12,assets/images/photos_gallery/Sports_photo_4.jpg,90,5,3,3
15,A gallery exhibition showcasing a collection of thought-provoking and contemporary artworks.,2023-09-19,assets/images/photos_gallery/Art_photo_4.jpg,700,6,4,5
